date,ticker,score,available_at
2024-01-02,AMD,0.70,2024-01-02T20:00:00+00:00
2024-01-02,AVGO,-0.60,2024-01-02T20:00:00+00:00
2024-01-02,NVDA,0.95,2024-01-02T20:00:00+00:00
2024-01-02,TSM,-0.85,2024-01-02T20:00:00+00:00
2024-01-03,AMD,0.65,2024-01-03T20:00:00+00:00
2024-01-03,AVGO,-0.55,2024-01-03T20:00:00+00:00
2024-01-03,NVDA,0.90,2024-01-03T20:00:00+00:00
2024-01-03,TSM,-0.80,2024-01-03T20:00:00+00:00
2024-01-04,AMD,0.55,2024-01-04T20:00:00+00:00
2024-01-04,AVGO,-0.50,2024-01-04T20:00:00+00:00
2024-01-04,NVDA,0.85,2024-01-04T20:00:00+00:00
2024-01-04,TSM,-0.75,2024-01-04T20:00:00+00:00
