date,ticker,close,available_at
2024-01-02,AMD,100,2024-01-02T21:00:00+00:00
2024-01-03,AMD,103,2024-01-03T21:00:00+00:00
2024-01-04,AMD,105,2024-01-04T21:00:00+00:00
2024-01-05,AMD,106,2024-01-05T21:00:00+00:00
2024-01-02,AVGO,120,2024-01-02T21:00:00+00:00
2024-01-03,AVGO,119,2024-01-03T21:00:00+00:00
2024-01-04,AVGO,118,2024-01-04T21:00:00+00:00
2024-01-05,AVGO,117,2024-01-05T21:00:00+00:00
2024-01-02,NVDA,200,2024-01-02T21:00:00+00:00
2024-01-03,NVDA,206,2024-01-03T21:00:00+00:00
2024-01-04,NVDA,210,2024-01-04T21:00:00+00:00
2024-01-05,NVDA,214,2024-01-05T21:00:00+00:00
2024-01-02,TSM,90,2024-01-02T21:00:00+00:00
2024-01-03,TSM,89,2024-01-03T21:00:00+00:00
2024-01-04,TSM,88,2024-01-04T21:00:00+00:00
2024-01-05,TSM,87,2024-01-05T21:00:00+00:00
